,id,name,address,postal_code,charger_level,lat,lng,cost,gg_address,gg_lat,gg_lng,city,province
1424,CEA-10784,985 | BHR | RDP-PAT | 9175 Perras: Aréna René-Masson,"9175 Boulevard Perras, Montréal, QC",H1E 3J7,Level2,45.651515,-73.577185,"1,00 $ (CAD) de l'heure","9175 Boulevard Perras, Montréal, QC H1E 3J7, Canada",45.6516417,-73.5778326,Montréal,QC
1428,CEA-10161,801 | BSR | SO | 3451 St-Jacques,"3451 Saint-Jacques, Montréal, QC",H4C 1H2,Level2,45.481909,-73.582365,"1,00 $ (CAD) de l'heure","3451 Rue Saint-Jacques, Montréal, QC H4C 1H2, Canada",45.4822301,-73.58218719999999,Montréal,QC
1429,CEA-11301,628 | BSR | VM | 2330 Sherbrooke Ouest,"2330 rue Sherbrooke O, Montréal, QC",H3H 1G8,Level2,45.491734,-73.58722900000001,"1,00 $ (CAD) de l'heure","2330 Rue Sherbrooke Ouest, Montréal, QC H3H 1G8, Canada",45.491395000000004,-73.586883,Montréal,QC
1433,CEA-10725,225 | BSR | VSMPE | 7352 Drolet,"7352A Drolet, Montréal, QC",H2R 2C4,Level2,45.538645,-73.618645,"1,00 $ (CAD) de l'heure","7352 Rue Drolet, Montréal, QC H2R 2C4, Canada",45.538464000000005,-73.618425,Montréal,QC
1434,CEA-503,601 | BSR | VM | 800 Gauvin,"800 rue du Square Victoria, Montréal, QC",H4Z 1A1,Level2,45.500852,-73.56134,"1,00 $ (CAD) de l'heure","800 Rue du Square-Victoria, Montréal, QC H4Z 1A1, Canada",45.5003412,-73.56207140000001,Montréal,QC
1436,CEA-10942,101 | BSR | AC | 10490 Lajeunesse,"10490 Lajeunesse, Montréal, QC",H3J 2E1,Level2,45.554181,-73.664827,"1,00 $ (CAD) de l'heure","10490 Rue Lajeunesse, Montréal, QC H3L 2E5, Canada",45.55407,-73.66486090000001,Montréal,QC
1448,CEA-11119,985 | BHR | RDP-PAT | 9175 Perras: Aréna René-Masson,"9175 Boulevard Perras, Montréal, QC",H1E 3J7,Level2,45.651515,-73.577185,"1,00 $ (CAD) de l'heure","9175 Boulevard Perras, Montréal, QC H1E 3J7, Canada",45.6516417,-73.5778326,Montréal,QC
1457,CEA-433,St-Hubert - Honoré-Beaugrand,"7870 Sherbrooke Est , Montréal, QC",H1L 1A5,Level2,45.5957020632717,-73.5348584656952,"1,00 $ (CAD) de l'heure","7870 Rue Sherbrooke E, Montréal, QC H1L 1A5, Canada",45.595616,-73.53470490000001,Montréal,QC
1459,CEA-206,280 | BHR | VSMPE | 7501 François Perrault : Maison du citoyen,"7501 François Perrault, Montréal, QC",H2A 1M1,Level2,45.56153,-73.60127,"2,50 $ (CAD) par session","7501 Rue François-Perrault, Montréal, QC H2A 1M1, Canada",45.5617131,-73.60121240000001,Montréal,QC
1461,CEA-10641,413 | BSR | MHM | 2696 D'Orleans,"2696 D'orléans, Montréal, QC",H1W 3S5,Level2,45.551603,-73.552353,"1,00 $ (CAD) de l'heure","2696 Avenue d'Orléans, Montréal, QC H1W 3S5, Canada",45.551559499999996,-73.55263149999999,Montréal,QC
1466,CEA-11392,632 | BSR | VM | 140 Prince,"140 Rue Prince, Ville-Marie, QC",H3C 1T6,Level2,45.497384,-73.556547,"1,00 $ (CAD) de l'heure","140 Rue Prince, Montréal, QC H3C 1T6, Canada",45.4970877,-73.5559311,Montréal,QC
1469,CEA-10611,110 | BSR | AC | 9815 Lajeunesse,"9815 Lajeunesse, Montréal, QC",H3L 2E1,Level2,45.551598,-73.655922,"1,00 $ (CAD) de l'heure","9815 Rue Lajeunesse, Montréal, QC H3L 2C9, Canada",45.5520054,-73.655971,Montréal,QC
1474,CEA-10901,104 | BSR | AC | 54 Gouin,"54 Boul. Gouin Est, Montréal, QC",H3L 1A6,Level2,45.552297,-73.673625,"1,00 $ (CAD) de l'heure","54 Boulevard Gouin E, Montréal, QC H3L, Canada",45.552005,-73.67369709999998,Montréal,QC
1477,CEA-10930,108 | BSR | AC | 990 Salaberry,"990 Salaberry, Montréal, QC",H3L 3L6,Level2,45.545777,-73.692268,"1,00 $ (CAD) de l'heure","990 Rue de Salaberry, Montréal, QC H3L, Canada",45.5455256,-73.6925484,Montréal,QC
1478,CEA-11442,230 | BSR | VSMPE | 7350 Garnier,"7350 Garnier, Montréal, QC",H2E 3A3,Level2,45.547512,-73.611812,"1,00 $ (CAD) de l'heure","7350 Rue Garnier, Montréal, QC H2E 2A3, Canada",45.547096,-73.61125799999999,Montréal,QC
1479,CEA-11210,326 | BSR | RPP | 1550 Bélanger,"1550 rue Bélanger, Montréal, QC",H2G 1A8,Level2,45.545093,-73.6043,"1,00 $ (CAD) de l'heure","1550 Rue Bélanger, Montréal, QC H2G 1A9, Canada",45.5453854,-73.60403769999999,Montréal,QC
1481,CEA-10373,502 | BSR | PMR | 4502 Boyer,"4502 rue Boyer, Montréal, QC",H2J 3E2,Level2,45.527465,-73.580138,"1,00 $ (CAD) de l'heure","4502 Rue Boyer, Montréal, QC H2J 3E2, Canada",45.5274177,-73.5800945,Montréal,QC
1484,CEA-405,St-Hubert - Cadillac,"6225 rue Sherbrooke Est, Montréal, QC",H1N 1C3,Level2,45.579227,-73.54565,"1,00 $ (CAD) de l'heure","6225 Rue Sherbrooke E, Montréal, QC H1N 1C3, Canada",45.579124,-73.54581999999999,Montréal,QC
1487,CEA-10821,809 | BSR | SO | 5505A Angers,"5505A rue Angers, Montréal, QC",H4E 1G5,Level2,45.462917,-73.584786,"1,00 $ (CAD) de l'heure","5505 Rue Angers, Montréal, QC H4E 1G5, Canada",45.463341799999995,-73.5848262,Montréal,QC
1495,CEA-10471,720 | BSR | CDN-NDG | 3165 Côte Ste-Catherine,"3165A Côte Ste-Catherine, Montréal, QC",H3T 1C4,Level2,45.503899,-73.622842,"1,00 $ (CAD) de l'heure","3165 Chemin de la Côte-Sainte-Catherine, Montréal, QC H3T 1C4, Canada",45.503252,-73.62410600000001,Montréal,QC
1497,CEA-10532,106 | BSR | AC | 780 Fleury,"1780 Fleury, Montréal, QC",H2C 1T4,Level2,45.567582,-73.653615,"1,00 $ (CAD) de l'heure","1780 Rue Fleury E, Montréal, QC H2C 3E4, Canada",45.567422799999996,-73.6535553,Montréal,QC
1499,CEA-10158,615 | BSR | VM | 1901 City Councillor,"425 Boul. de Maisonneuve O, Montréal, QC",H3A 3K5,Level2,45.505901,-73.570678,"1,00 $ (CAD) de l'heure","425 Boulevard de Maisonneuve O, Montréal, QC H3A 3G5, Canada",45.506133500000004,-73.5704262,Montréal,QC
1504,CEA-10541,822 | BSR | SO | 555 Des Seigneurs,"555 Des Seigneurs, Montréal, QC",H3J 2S5,Level2,45.488813,-73.570943,"1,00 $ (CAD) de l'heure","555 Rue des Seigneurs, Montréal, QC H3J 1Y1, Canada",45.4885844,-73.5700977,Montréal,QC
1508,CEA-10879,416 | BSR | MHM | 5750 Pierre de Coubertin,"5750 Pierre de Coubertin, Montréal, QC",H1N 2K9,Level2,45.571544,-73.540664,"1,00 $ (CAD) de l'heure","5750 Avenue Pierre-De Coubertin, Montréal, QC H1N 1R4, Canada",45.571661,-73.54074279999999,Montréal,QC
